BUT000.PARTNER,BUT000.PARTNER_GUID,BUT000.XDELE,BUT000.XBLCK,BUT000.NATPERS,BUT000.STCEG,BUT000.CHANGED_AT,BUT100.VALID_FROM,BUT100.VALID_TO,BUT000.BU_SORT1,BUT000.LANGU_CORR,BUT100.RLTYP,ADRC.COUNTRY,ADRC.CITY1,ADRC.POST_CODE1,ADRC.STREET,ADRC.LANGU,ADRC.CITY2,ADRC.FAX_NUMBER,ADRC.HOUSE_NUM1,ADRC.REGION,ADRC.TEL_NUMBER,BUT000.BPEXT,BUT000.BPKIND,BUT000.BU_SORT2,BUT000.CREATED_AT,BUT000.NAME_ORG2,BUT000.NATIO,BUT000.TITLE
1000000001,550e8400-e29b-41d4-a716-446655440001,X,X,X,GB123456781,2026-05-01,2021-01-01,2030-12-31,SRCH01,EN,BUR001,DE,Berlin,10115,Hauptstrasse,EN,Mitte,+49 30 2222001,11,BE,+49 30 1111001,EXT-01,STD,SRT01,2024-01-15,Division A,DE,Mr.
1000000002,550e8400-e29b-41d4-a716-446655440002,X,X,X,GB123456782,2026-04-20,2021-02-01,2030-11-30,SRCH02,EN,BUR001,US,Boston,02108,Beacon Street,EN,Downtown,+1 617 2222002,12,MA,+1 617 1111002,EXT-02,STD,SRT02,2024-02-10,Division B,US,Mrs.
1000000003,550e8400-e29b-41d4-a716-446655440003,X,X,X,GB123456783,2026-03-15,2021-03-01,2030-10-31,SRCH03,FR,BUR002,FR,Paris,75001,Rue de Rivoli,FR,Centre,+33 1 2222003,13,75,+33 1 1111003,EXT-03,STD,SRT03,2023-12-01,Division C,FR,Ms.
BADPART01,550e8400-e29b-41d4-a716-446655440004,X,X,X,GB123456784,2026-02-28,2021-04-01,2030-09-30,SRCH04,EN,BUR001,IT,Milan,20121,Via Brera,IT,Brera,+39 02 2222004,14,MI,+39 02 1111004,EXT-04,STD,SRT04,2024-03-05,Division D,IT,Dr.
BADPART02,550e8400-e29b-41d4-a716-446655440005,X,X,X,GB123456785,2026-05-05,2021-05-01,2030-08-31,SRCH05,DE,BUR002,CH,Zurich,8001,Bahnhofstrasse,DE,Altstadt,+41 44 2222005,15,ZH,+41 44 1111005,EXT-05,STD,SRT05,2023-11-20,Division E,CH,Mr.
BADPART03,550e8400-e29b-41d4-a716-446655440006,X,X,X,GB123456786,2026-04-10,2021-06-01,2030-07-31,SRCH06,EN,BUR001,SE,Stockholm,11143,Drottninggatan,SV,Norrmalm,+46 8 2222006,16,AB,+46 8 1111006,EXT-06,STD,SRT06,2024-04-12,Division F,SE,Mrs.
,not-a-guid,Y,Y,Y,12,2020-01-01,2030-01-01,2020-12-31,,,,,,,,,,,,,,,,,,,,
,not-a-guid,Y,Y,Y,12,2020-02-01,2030-02-01,2020-11-30,,,,,,,,,,,,,,,,,,,,
,not-a-guid,Y,Y,Y,12,2020-03-01,2030-03-01,2020-10-31,,,,,,,,,,,,,,,,,,,,
,not-a-guid,Y,Y,Y,12,2020-04-01,2030-04-01,2020-09-30,,,,,,,,,,,,,,,,,,,,
,not-a-guid,Y,Y,Y,12,2020-05-01,2030-05-01,2020-08-31,,,,,,,,,,,,,,,,,,,,
,not-a-guid,Y,Y,Y,12,2020-06-01,2030-06-01,2020-07-31,,,,,,,,,,,,,,,,,,,,
